"Population"	"Allelic_Richness"	"Observed_Heterozygosity"	"Expected_Heterozygosity"	"N"	"Fis"	"Private_Alleles"
"AR"	1.17497308394269	0.168316236811254	0.175101875732708	26.9413833528722	0.0306923556942278	0
"IA_NE"	1.16609428492969	0.161101113716295	0.166376553341149	10.6465416178195	0.0248197095435685	0
"IL_IN"	1.17711709862259	0.171842555685815	0.177343493552169	12.42203985932	0.0168276576576577	0
"KS_OK"	1.18011155458782	0.17258774912075	0.180481594372802	11.4958968347011	0.0339013774104683	0
"KY_TN"	1.18373465914394	0.176288042203986	0.183803575615475	55.3229777256741	0.0376981518151815	7
"LA"	1.18399917784443	0.177962954279015	0.184753516998828	5.60082063305979	0.0172730312837109	0
"MI"	1.17401840376635	0.173280363423212	NA	4.54689331770223	-0.0160733585858586	0
"MN_WI_ND"	1.15656538543279	0.154102872215709	0.156628546307151	24.9495896834701	0.0169948039215686	1
"MO"	1.17418800078327	0.168949824150059	0.174244724501758	45.7497069167644	0.0278733006306938	3
"MS"	1.18105058819767	0.1775101992966	0.181189566236811	14.5070339976553	0.0160602739726027	1
"OH_WV"	1.17333896227648	0.167947127784291	0.173652051582649	10.2942555685815	0.0238976076555024	1
"SC_NC"	1.17258273634127	0.177385228604924	0.172289566236811	8.36635404454865	-0.0218074675324675	1
